name,information,address,price,owner,house_type,in_pledge,construction_year,ceiling_height,area,room_count,floor_count,floor ,district,url,lat,lon
2-комнатная квартира · 62 м² · 4/12 этаж,"жил. комплекс Gala One, кирпичный дом, 2026 г.п., потолки 3м., Продается 2х комнатная полноценная квартира. Жилой комплекс комфорт+класса кирпичный, теплый дом. Gala One находится в перспективном районе столицы по улице Улы дала. Здесь все рядом; престижные школы, современные сады, трц Мега…",Улы дала 40,32300000.0,Хозяин недвижимости,кирпичный дом,False,2026,3.0,62.0,2.0,12.0,4.0,Нура р-н,https://krisha.kz/a/show/1009011977?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1268,51.099455170094,71.382507459006
4-комнатная квартира · 121 м² · 6/17 этаж,"В залоге, жил. комплекс Бухар Жырау, монолитный дом, 2023 г.п., состояние: свежий ремонт, потолки 3м., санузел 2 с/у и более, телефон: есть возможность подключения, интернет оптика, меблирована полностью, Бухар Жырау 2 очередь: 🔹 Полноценная 4-х комнатная квартира 🔺 Мастер спальня 🔻 Ремонт дела…",Туран 50/5,97000000.0,Риелтор,монолитный дом,True,2023,3.0,121.0,4.0,17.0,6.0,Есильский р-н,https://krisha.kz/a/show/697972128?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1269,51.105669666735,71.402163505554
3-комнатная квартира · 90.4 м² · 12/12 этаж,"жил. комплекс Eco Park, 2025 г.п., состояние: свежий ремонт, потолки 3м., санузел 2 с/у и более, меблирована полностью, 🏡 Продаётся просторная 3-комнатная квартира с качественным ремонтом! ✨ В квартире остаётся вся мебель и техника — заезжай и живи! 📍 Этаж: 12/12 📐 Площадь: 91 м² 🌅 Потрясающий вид…",Сыганак 4,87000000.0,Риелтор,монолитный дом,False,2025,3.0,90.4,3.0,12.0,12.0,Нура р-н,https://krisha.kz/a/show/1007593547?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1270,51.127440933242,71.390980481992
2-комнатная квартира · 62.5 м² · 18/20 этаж,"жил. комплекс A-City, монолитный дом, 2025 г.п., потолки 3м., санузел совмещенный, телефон: есть возможность подключения, интернет ADSL, без мебели, 🌳 Видовая распашонка 62, 5 м² — 18/20, ЖК A-City (ул. Жургенова) Площадь: 62, 5 м² Этаж: 18 из 20 Планировка: распашонка (окна с двух сторон) — лу…",Жургенова 19,32900000.0,Риелтор,монолитный дом,False,2025,3.0,62.5,2.0,20.0,18.0,Алматы р-н,https://krisha.kz/a/show/1005958202?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1271,51.11614418398,71.500186139302
3-комнатная квартира · 82 м² · 1/9 этаж,"В залоге, кирпичный дом, 2011 г.п., состояние: не новый, но аккуратный ремонт, потолки 2.7м., санузел совмещенный, 3-комнатная квартира в кирпичном доме, г. Астана Продаётся просторная и тёплая 3-комнатная квартира в кирпичном доме. Удобная планировка, изолированные комнаты, кухня отдельная, сануз…",Байсейтова 122,33000000.0,Риелтор,кирпичный дом,True,2011,2.7,82.0,3.0,9.0,1.0,Сарыарка р-н,https://krisha.kz/a/show/1007980032?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1272,51.182937,71.379028
1-комнатная квартира · 43 м² · 7/10 этаж,"жил. комплекс KOKTAL Apartments, 2023 г.п., потолки 2.7м., санузел совмещенный, Продается уютная 1-комнатная квартира в современном ЖК Koktal Apartaments! Квартира полностью меблирована и укомплектована всей необходимой бытовой техникой — можно заехать и жить сразу! Общая площадь: 43 м² Этаж: 7…",Ардагерлер 38/3,20000000.0,Риелтор,кирпичный дом,False,2023,2.7,43.0,1.0,10.0,7.0,Сарыарка р-н,https://krisha.kz/a/show/1006498939?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1273,51.185966473639,71.34719672774
2-комнатная квартира · 54.38 м²,"жил. комплекс Sardar Compass, 17 этажей, 2025 г.п., потолки 3м., санузел совмещенный, Sardar Compass — не просто дом. Это пространство, в которое хочется вписать свою историю.Преимущества:",,28277600.0,Новостройка,кирпичный дом,False,2025,3.0,54.38,2.0,10.0,17.0,Сарайшык р-н,https://krisha.kz/a/show/1000482548?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1275,51.106052945073,71.531496161847
3-комнатная квартира · 133.6 м² · 5/9 этаж,"жил. комплекс Adam Armany, кирпичный дом, 2023 г.п., состояние: черновая отделка, потолки 2.7м., санузел 2 с/у и более, 🔥 ГОРЯЩАЯ ЦЕНА 🔥 3-комнатная квартира в ЖК «Adam Аrmany» 📐 Площадь — 133 м² 🏢 5 этаж из 9 Квартира с удобной планировкой и большим метражом — редкое предложение. Подходит д…",Нажимеденов 44a,50000000.0,Риелтор,кирпичный дом,False,2023,2.7,133.6,3.0,9.0,5.0,Алматы р-н,https://krisha.kz/a/show/762263842?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1276,51.112736965377,71.510567662481
4-комнатная квартира · 98 м² · 10/10 этаж,"жил. комплекс Бухар Жырау De Luxe, кирпичный дом, 2022 г.п., состояние: черновая отделка, потолки 3м., санузел 2 с/у и более, телефон: есть возможность подключения, интернет ADSL, Предчистовая. Хороший тихий район. ЭКСПО, Триумфальная арка, ботанический сад все рядом. Рядом школа Бином и Дары…",ул. Бухар жырау 34/2,70000000.0,Риелтор,кирпичный дом,False,2022,3.0,98.0,4.0,10.0,10.0,Есильский р-н,https://krisha.kz/a/show/760927280?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1277,51.098200918354,71.434872635385
3-комнатная квартира · 95 м² · 9/9 этаж,"жил. комплекс Жагалау 3, кирпичный дом, 2016 г.п., состояние: не новый, но аккуратный ремонт, потолки 2.7м., санузел 2 с/у и более, интернет ADSL, меблирована частично, 🔹Продаётся полноценная 3-х комнатная квартира в жк Жагалау. 🔹Одноподъездный дом. 🔹Общая площадь 95 кв. м., кухня 10 кв. м. 🔹2 ло…",Ильяс Омаров 7,40000000.0,Риелтор,кирпичный дом,False,2016,2.7,95.0,3.0,9.0,9.0,Есильский р-н,https://krisha.kz/a/show/760262492?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1278,51.134849253084,71.36751659259
2-комнатная квартира · 62.2 м² · 3/10 этаж,"жил. комплекс Rio de Janeiro, кирпичный дом, 2023 г.п., состояние: свежий ремонт, потолки 2.7м., санузел раздельный, телефон: нет, интернет через TV кабель, меблирована частично, Продаётся 2-комнатная квартира с ремонтом в ЖК «Rio de Janeiro» 📐 62, 2 м² 🏢 3 этаж из 10 🏗 Дом 2023 года постройки 👷…",Бейбарыс Султан 25/4,30800000.0,Риелтор,кирпичный дом,False,2023,2.7,62.2,2.0,10.0,3.0,Сарыарка р-н,https://krisha.kz/a/show/1008849470?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1279,51.171079,71.356552
3-комнатная квартира · 180 м² · 8/9 этаж,"жил. комплекс Азия Плюс, кирпичный дом, 2016 г.п., состояние: свежий ремонт, потолки 3м., санузел 2 с/у и более, интернет оптика, меблирована полностью, ПРОДАЕТСЯ 3 комнатная квартира в топовой локации правого берега! 🔹ЖК Азия плюс РАСПОЛОЖЕНИЕ: 🚩 Золотой квадрат ⭐️ ⭐️Школа Нұр Орда ⭐️Школа лицей 7…",Нажимеденова 16б,95000000.0,Риелтор,кирпичный дом,False,2016,3.0,180.0,3.0,9.0,8.0,Алматы р-н,https://krisha.kz/a/show/1007992612?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1280,51.117531581893,71.477941031779
3-комнатная квартира · 64 м² · 7/15 этаж,"жил. комплекс Nur Aspan, монолитный дом, 2016 г.п., состояние: не новый, но аккуратный ремонт, потолки 2.8м., санузел раздельный, телефон: есть возможность подключения, меблирована полностью, ✅Эксклюзивное предложение ✅ЖК Нур Аспан от застройщика Орда Инвест ✅Современный ЖК Нур Аспан идеальное жи…",Ракымжан Кошкарбаев 37,38500000.0,Риелтор,монолитный дом,False,2016,2.8,64.0,3.0,15.0,7.0,Алматы р-н,https://krisha.kz/a/show/1006165449?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1281,51.1290047041,71.494800489409
5-комнатная квартира · 168.14 м²,"жил. комплекс GreenLine. Verda, 12 этажей, 2026 г.п., потолки 3м., санузел 2 с/у и более, Verda – это воплощение чистоты, благополучия и жизни, наши дома преображаются так же, отражая энергию растущег…",Е-899 5/1,141237600.0,Новостройка,кирпичный дом,False,2026,3.0,168.14,5.0,13.0,12.0,Нура р-н,https://krisha.kz/a/show/760697987?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1282,51.136697188562,71.387929890809
1-комнатная квартира · 39.1 м² · 4/9 этаж,"жил. комплекс College, кирпичный дом, 2020 г.п., состояние: свежий ремонт, потолки 3м., санузел совмещенный, телефон: есть возможность подключения, интернет проводной, меблирована полностью, Продается уютная однокомнатная квартира (39, 1 кв. м. ) на 4 этаже 9-этажного кирпичного дома. Сделан све…",Шоссе Коргалжын 15/1,28000000.0,Хозяин недвижимости,кирпичный дом,False,2020,3.0,39.1,1.0,9.0,4.0,Нура р-н,https://krisha.kz/a/show/1009024687?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1283,51.145468572075,71.375076211891
1-комнатная квартира · 53.17 м² · 11/11 этаж,"кирпичный дом, 2022 г.п., потолки 3м., 🏠 Продается 1 комнатная квартира в жилом комплексе Arai Apartments 🏠 Дом Бизнес класса ✔️общая площадь квартиры 53, 17 кв. м Просторная распашонка что позволит переделать в евро 2х комнатную квартиру 📌 Закрытый двор, видеонаблюдение 📌Благоустроенная территор…",Кенесары 6,20500000.0,Риелтор,кирпичный дом,False,2022,3.0,53.17,1.0,11.0,11.0,Сарыарка р-н,https://krisha.kz/a/show/1008833853?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1284,51.162025,71.40454
4-комнатная квартира · 130 м² · 14/17 этаж,"жил. комплекс Flagman, монолитный дом, 2023 г.п., потолки 3м., санузел 2 с/у и более, интернет оптика, меблирована полностью, Продаётся стильная и просторная 4-комнатная квартира в престижном ЖК Flagman, г. Астана Квартира расположена на 14 этаже монолитного дома с охраной и лифтом. Выпо…",Шығанақ 1,140000000.0,Риелтор,монолитный дом,False,2023,3.0,130.0,4.0,17.0,14.0,Сарыарка р-н,https://krisha.kz/a/show/1005336944?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1285,51.161098453202,71.399003641034
4-комнатная квартира · 104.5 м² · 4/21 этаж,"жил. комплекс Highvill Park, монолитный дом, 2018 г.п., потолки 2.8м., санузел 2 с/у и более, Уютная, ухоженная квартира. Без обременений. Звоните 24/7",Кабанбай батыра 43В,95000000.0,Риелтор,монолитный дом,False,2018,2.8,104.5,4.0,21.0,4.0,Нура р-н,https://krisha.kz/a/show/1008741031?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1286,51.113063633858,71.406240463257
2-комнатная квартира · 58.1 м² · 8/20 этаж,"жил. комплекс View Park Family, монолитный дом, 2021 г.п., потолки 2.85м., санузел совмещенный, Продаётся просторная 2-комнатная квартира ✨ Удобная планировка | Увеличенные окна | Гардероб ✨ Квартира не требует вложений ✅ ✨ Вся мебель и техника остаются в цене 🕒 Звоните 24/7 — покажем в любое врем…",Нажимеденова 13/1,34000000.0,Риелтор,монолитный дом,False,2021,2.85,58.1,2.0,20.0,8.0,Сарайшык р-н,https://krisha.kz/a/show/1008926804?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1287,51.11575958431,71.512909793801
1-комнатная квартира · 42.3 м² · 9/9 этаж,"жил. комплекс Q Way, монолитный дом, 2024 г.п., состояние: черновая отделка, потолки 2.7м",А62 участок 2,20000000.0,Хозяин недвижимости,монолитный дом,False,2024,2.7,42.3,1.0,9.0,9.0,Сарайшык р-н,https://krisha.kz/a/show/1009070842?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1288,51.11628882902,71.53875289301
3-комнатная квартира · 111.24 м² · 12/22 этаж,"жил. комплекс Capital Park.Sky, монолитный дом, 2025 г.п., потолки 3м., Рассмотрим ипотеку",Аль-Фараби 3,97000000.0,Риелтор,монолитный дом,False,2025,3.0,111.24,3.0,22.0,12.0,Есильский р-н,https://krisha.kz/a/show/1007510735?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1289,51.101627810333,71.451746913561
2-комнатная квартира · 46 м² · 5/5 этаж,"панельный дом, 1961 г.п., состояние: требует ремонта, потолки 2.5м., санузел совмещенный, без мебели, ✅Эксклюзивное предложение ✅Район Сарыарка ✅5 этаж из 5 ✅Хорошая локация ✅Высокий уровень комфорта придомовой территории и мест общего пользования. ✅полноценная двухкомнатная квартира распашо…",Бейбітшілік 40,17000000.0,Риелтор,панельный дом,False,1961,2.5,46.0,2.0,5.0,5.0,Сарыарка р-н,https://krisha.kz/a/show/1006054014?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1290,51.179702928188,71.417991162767
2-комнатная квартира · 50 м² · 12/12 этаж,"жил. комплекс Qaiyndy 3, кирпичный дом, 2025 г.п., состояние: черновая отделка, потолки 3м., санузел совмещенный, Не упустите возможность приобрести квартиру по горячей цене ! Полноценная двухкомнатная квартира в доме комфорт класса от застройщика SvoyDom . Солнечная и светлая, с прекрасным вид…",Чингиз Айтматов 77/7,27500000.0,Риелтор,кирпичный дом,False,2025,3.0,50.0,2.0,12.0,12.0,Нура р-н,https://krisha.kz/a/show/1005333268?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1291,51.167178642448,71.369227527172
2-комнатная квартира · 64.9 м² · 7/9 этаж,"жил. комплекс Мынжылдык, кирпичный дом, 2022 г.п., потолки 3м., Продажа 2-комнатной квартиры в ЖК «Мынжылдык» Просторная квартира площадью 62 м², расположена на 7 этаже из 9. Дом комфорт+ класса, ухоженный и современный. На площадке всего 2–4 квартиры, что создаёт тишину и приватность — редкость д…",Каршыга Ахмедьярова 3,30699999.0,Риелтор,кирпичный дом,False,2022,3.0,64.9,2.0,9.0,7.0,Алматы р-н,https://krisha.kz/a/show/1001676478?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1292,51.111004564807,71.50231480032
2-комнатная квартира · 45 м² · 2/9 этаж,"жил. комплекс Eleven, монолитный дом, 2025 г.п., потолки 3м., ЖК Eleven евро двушка Застройщик Sat NS Дом комфорт + класса Потолки 3 метра Двери 2.20 метра Увеличенные окны Окна смотрит на улицу Рядом школы Строится Eco Park Подземный паркинг Закрытый двор на пандусе Детская и спортивная площа…",Култегин 4а,30600000.0,Риелтор,монолитный дом,False,2025,3.0,45.0,2.0,9.0,2.0,Нура р-н,https://krisha.kz/a/show/1008349619?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1293,51.127448329212,71.37172755575
3-комнатная квартира · 110 м² · 6/7 этаж,"жил. комплекс Family Park, кирпичный дом, 2020 г.п., потолки 3.3м., санузел 2 с/у и более, интернет оптика, меблирована полностью, ВНИМАНИЕ ПРОДАЕТСЯ ТРЁХКОМНАТНАЯ КВАРТИРА ТОЛЬКО НАЛИЧНЫЙ РАСЧЕТ 🏤🔥 ✅ЖК family park ✅Дом комфорт+ класса ✅ул. Кабанбай батыра 75а ✅Видовая на Набережную ✅Полноценна…",Кабанбай батыра 75а,49500000.0,Риелтор,кирпичный дом,False,2020,3.3,110.0,3.0,7.0,6.0,Есильский р-н,https://krisha.kz/a/show/1005552502?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1294,51.05955923954,71.411534987418
2-комнатная квартира · 59.3 м² · 5/9 этаж,"жил. комплекс Abai Joly, монолитный дом, 2025 г.п., состояние: черновая отделка, потолки 3м., 🏡 Продаётся 2-комнатная квартира — 60 м² ✅ 2 комнаты ✅ Площадь — 60 м² ✅ 5 этаж ✅ Застройщик — Улытау Груп ✅ Предчистовая отделка ✅ Закрытый, безопасный двор 🔒 ✅ Рядом набережная реки Есиль 🌊 ✨ Отличная…",Е 882 15б,33000000.0,Риелтор,монолитный дом,False,2025,3.0,59.3,2.0,9.0,5.0,Нура р-н,https://krisha.kz/a/show/1008720470?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1295,51.16406502347,71.393006494709
2-комнатная квартира · 53 м² · 6/9 этаж,"жил. комплекс Достар-2, кирпичный дом, 2011 г.п., потолки 2.8м., санузел совмещенный, телефон: есть возможность подключения, интернет проводной, меблирована полностью, ✨ 2-комнатная квартира в ЖК Dostar 2 ✨ 🏠 Площадь: 53 м² 🏢 Этаж: 6 из 9 🔑 Всего 4 квартиры на этаже — тишина и минимум соседей 🌿 О…",Мустафина 21/5-7,28000000.0,Риелтор,кирпичный дом,False,2011,2.8,53.0,2.0,9.0,6.0,Алматы р-н,https://krisha.kz/a/show/1009046924?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1296,51.158698306216,71.507617574405
3-комнатная квартира · 74.9 м² · 2/10 этаж,"жил. комплекс Магистральный-2, монолитный дом, 2013 г.п., состояние: свежий ремонт, потолки 3м., санузел 2 с/у и более, интернет ADSL, меблирована полностью, ✨ Евро-трёхкомнатная квартира в ЖК «Магистральная» ✨ 🏡 Просторная, светлая, с удобной планировкой 🛠 Качественный ремонт, встроенная кухня…",Б. Момышулы 17,39000000.0,Риелтор,монолитный дом,False,2013,3.0,74.9,3.0,10.0,2.0,Алматы р-н,https://krisha.kz/a/show/1008317352?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1297,51.139148013403,71.473714815426
2-комнатная квартира · 70 м² · 14/17 этаж,"жил. комплекс Ак Шанырак, кирпичный дом, 2017 г.п., состояние: не новый, но аккуратный ремонт, потолки 2.8м., санузел совмещенный, телефон: нет, интернет ADSL, меблирована полностью, Евро двушка. Теплая квартира с прекрасным видом из окон. Детская и спортивная площадки. Возле дома возведен скве…",Момышулы 2г,28990000.0,Риелтор,кирпичный дом,False,2017,2.8,70.0,2.0,17.0,14.0,Алматы р-н,https://krisha.kz/a/show/1005199772?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1298,51.132989,71.46037
2-комнатная квартира · 66.32 м²,"жил. комплекс Family Gardens, 5 этажей, 2026 г.п., потолки 3.3м., санузел совмещенный, Жилой комплекс Family Gardens — это гармония современного европейского стиля и уединённого комфорта. Полностью закрытая территория обеспечивает приватность, создавая пространство для спокойной…",ул. Е-314 12,72023520.0,Новостройка,монолитный дом,False,2026,3.3,66.32,2.0,10.0,5.0,Есильский р-н,https://krisha.kz/a/show/1000512524?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1299,51.067602961191,71.424920525139
2-комнатная квартира · 50 м² · 4/9 этаж,"В залоге, жил. комплекс Сатурн, 2020 г.п., состояние: свежий ремонт, санузел совмещенный, интернет оптика, меблирована полностью, 💥💥💥Срочно Продается уютная 2-комнатная квартира с отличным ремонтом‼️ Готова к заселению‼️ ✅Квартира светлая и уютная. ✅Использованы современные материалы. ✅Гарантир…",Ахмет Байтурсынулы 39/2,28400000.0,Риелтор,кирпичный дом,True,2020,2.7,50.0,2.0,9.0,4.0,Сарайшык р-н,https://krisha.kz/a/show/1008628635?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1300,51.121039,71.502788
2-комнатная квартира · 70 м²,"монолитный дом, 2021 г.п., состояние: не новый, но аккуратный ремонт, потолки 3м., санузел совмещенный, меблирована полностью, Продаётся квартира 2 комнатная. 💥Квартира светлая, уютная. О доме: 💥Комфорт-класс, монолитный, 2021 г.постройки. 💥Застройщик — Sat NS 💥Большая парковка для жильцов 🚗 🏫…",мкр Уркер Асфендиярова 3,46000000.0,Риелтор,монолитный дом,False,2021,3.0,70.0,2.0,16.0,12.0,Нура р-н,https://krisha.kz/a/show/1008379167?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1301,51.132508,71.378444
3-комнатная квартира · 61 м² · 1/9 этаж,"В залоге, жил. комплекс Sardar city, монолитный дом, 2024 г.п., состояние: черновая отделка, потолки 3м., Комфорт плюс класс с элементами бизнес класса. Евро трешка, два сан. можно разместить. Есть черновой план по перепланировке. Электронный замок с отпечатком пальца, закрытый двор. Стеклопакет…",Жумекен Нажимеденов 54/1,32000000.0,Риелтор,монолитный дом,True,2024,3.0,61.0,3.0,9.0,1.0,Алматы р-н,https://krisha.kz/a/show/1005736573?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1302,51.109906342606,71.524552608121
3-комнатная квартира · 79.6 м² · 1/6 этаж,"кирпичный дом, 2016 г.п., состояние: свежий ремонт, потолки 2.5м., санузел раздельный, телефон: отдельный, интернет через TV кабель, меблирована полностью, Идеальное место для жизни и бизнеса в сердце Алматинского района Астаны! Представьте: просторная 3-комнатная квартира в современном кирпичн…",Хиуаз Доспанова 2/1,38000000.0,Риелтор,кирпичный дом,False,2016,2.5,79.6,3.0,6.0,1.0,Алматы р-н,https://krisha.kz/a/show/692249678?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1303,51.125448,71.507451
2-комнатная квартира · 63 м² · 6/9 этаж,"жил. комплекс Атмосфера, монолитный дом, 2022 г.п., состояние: свежий ремонт, потолки 3м., санузел совмещенный, интернет ADSL, меблирована полностью, Горячка 🔥 Продам полноценную 2-комнатную квартиру-распашонку общей площадью 63 м², на 6 этаже из 9. Квартира светлая, с удобной планировкой и правиль…",Омарова 27/1,43500000.0,Риелтор,монолитный дом,False,2022,3.0,63.0,2.0,9.0,6.0,Есильский р-н,https://krisha.kz/a/show/1008973216?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1304,51.141997,71.36929
1-комнатная квартира · 43.1 м²,"жил. комплекс MOD Ultra, 17 этажей, 2026 г.п., потолки 3м., санузел совмещенный, Разрешение от МИО (Местный исполнительный орган). Выдано застройщику ТОО «Nova City Development» и уполномоченной компании ТОО «Туран Сити»",Хусейн бен Талал 37,39091700.0,Новостройка,монолитный дом,False,2026,3.0,43.1,1.0,11.0,17.0,Есильский р-н,https://krisha.kz/a/show/1005837200?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1305,51.078989380451,71.429688367274
2-комнатная квартира · 69.36 м²,"жил. комплекс GreenLine. 4YOU, 20 этажей, 2026 г.п., потолки 3м., санузел совмещенный, GreenLine. 4YOU — это стильный проект в самом сердце города. Больше не нужно выбирать между работой, семьей, отдыхом и саморазвитием — здесь есть все, чтобы вы смогли найти баланс и обрели гармон…",Кайым Мухамедханов 6/1,64227360.0,Новостройка,монолитный дом,False,2026,3.0,69.36,2.0,17.0,20.0,Нура р-н,https://krisha.kz/a/show/1000422318?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1306,51.138446098512,71.393961385733
5-комнатная квартира · 187.23 м²,"жил. комплекс GreenLine. 4YOU, 20 этажей, 2026 г.п., потолки 3м., GreenLine. 4YOU — это стильный проект в самом сердце города. Больше не нужно выбирать между работой, семьей, отдыхом и саморазвитием — здесь есть все, чтобы вы смогли найти баланс и обрели гармонию с собой. Заряжа…",Кайым Мухамедханов 6/1,148098930.0,Новостройка,монолитный дом,False,2026,3.0,187.23,5.0,17.0,20.0,Нура р-н,https://krisha.kz/a/show/697968798?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1307,51.138446098512,71.393961385733
3-комнатная квартира · 118.03 м²,"жил. комплекс Capital Park. Art, 16 этажей, 2026 г.п., потолки 3м., санузел 2 с/у и более, Capital Park Art — это не просто место, где вы живёте — это пространство, где рождается вдохновение. Здесь парк дарит покой, а город наполняет энергией. Это выбор тех, кто ценит баланс: меж…",Аль-Фараби 3/2,90056890.0,Новостройка,монолитный дом,False,2026,3.0,118.03,3.0,13.0,16.0,Есильский р-н,https://krisha.kz/a/show/1004370279?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1309,51.102519937891,71.450931397467
3-комнатная квартира · 81 м² · 2/18 этаж,"жил. комплекс Махаббат-2, монолитный дом, 2009 г.п., состояние: свежий ремонт, потолки 3м., санузел раздельный, телефон: нет, интернет проводной, меблирована полностью, Продается 3 х комнатная квартира на удобном втором этаже. Дом тёплый. Почти всё остаётся в квартире при продаже. Район с разви…",Сарыарка 41,37000000.0,Риелтор,монолитный дом,False,2009,3.0,81.0,3.0,18.0,2.0,Сарыарка р-н,https://krisha.kz/a/show/760531221?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1310,51.179399308069,71.404513286324
2-комнатная квартира · 56.2 м² · 7/9 этаж,"кирпичный дом, 2001 г.п., состояние: свежий ремонт, потолки 2.7м., санузел раздельный, телефон: есть возможность подключения, интернет проводной, меблирована частично, Продается уютная 2х комнатная квартира в хорошем районе правого берега. В шаговой доступности школы и детские сады",Кумисбекова 6,35000000.0,Риелтор,кирпичный дом,False,2001,2.7,56.2,2.0,9.0,7.0,Сарыарка р-н,https://krisha.kz/a/show/1008494813?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1311,51.166098,71.40012
1-комнатная квартира · 49.4 м² · 9/12 этаж,"жил. комплекс Zurich, кирпичный дом, 2024 г.п., потолки 3м., 🏡 1-комнатная квартира в ЖК Zurich — распашонка, 49, 4 м² 📍 Астана, ЖК Zurich Дом от надежного застройщика G Park (кирпичный, отличная шумо- и теплоизоляция). Дом на стадии завершения — сдача уже скоро! ✨ Характеристики квартиры:…",Жумекен Нажимеденов 38,23000000.0,Риелтор,кирпичный дом,False,2024,3.0,49.4,1.0,12.0,9.0,Сарайшык р-н,https://krisha.kz/a/show/1004851560?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1312,51.112456,71.513577
3-комнатная квартира · 85.25 м²,"жил. комплекс TULGA, 9 этажей, 2026 г.п., потолки 3м., санузел 2 с/у и более, TULGA - это о жизни с настоящим комфортом, где динамика города гармонично переплетается с тишиной и уютом. Здесь живут те, кто выбирает качество, заботу о себе и осознанный подход…",Шафика Чокина 4,48336750.0,Новостройка,кирпичный дом,False,2026,3.0,85.25,3.0,9.0,9.0,Нура р-н,https://krisha.kz/a/show/1002708718?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1313,51.120509870163,71.375572320703
3-комнатная квартира · 71.13 м² · 5/9 этаж,"жил. комплекс Arti7, монолитный дом, 2025 г.п., потолки 3м",E 496 8,39000000.0,Риелтор,монолитный дом,False,2025,3.0,71.13,3.0,9.0,5.0,Есильский р-н,https://krisha.kz/a/show/1009008862?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1314,51.072908,71.425228
